[17:51:42] START    --- NEW SEARCH ---  (44 listings)
[17:51:46] BLOCKED  https://www.apartments.com/omaha-ne/  (access denied)
[17:51:50] OK       https://www.zumper.com/apartments-for-rent/omaha-ne  (7118 chars)
[17:51:51] OK       https://www.rentcafe.com/apartments-for-rent/us/ne/omaha/  (11742 chars)
[17:51:57] EMPTY    https://www.zillow.com/omaha-ne/apartments/  (134 chars)
[17:51:59] OK       https://www.rentable.co/omaha-ne  (13607 chars)
[17:52:00] FAIL     https://www.apartmentfinder.com/Nebraska/Cheap-Apartments-In-Omaha  (403 Client Error: Forbidden for url: https://www.apartmentfinder.com/Nebraska/Ch)
[17:52:01] OK       https://omaha.craigslist.org/search/apa  (0 chars)
[17:52:02] OK       https://www.rent.com/nebraska/omaha-apartments  (3702 chars)
[17:52:04] OK       https://www.rentcafe.com/3-bedroom-apartments-for-rent/us/ne/omaha/  (11611 chars)
[17:52:05] OK       https://www.redfin.com/city/9417/NE/Omaha/apartments-for-rent  (13825 chars)
[17:52:07] OK       https://www.apartmentguide.com/apartments/Nebraska/Omaha/  (3640 chars)
[17:52:08] OK       https://www.padmapper.com/apartments/omaha-ne  (11868 chars)
[17:52:12] BLOCKED  https://www.apartments.com/omaha-ne/3-bedrooms/  (access denied)
[17:52:14] BLOCKED  https://www.apartments.com/three-bedroom-1-bathrooms-0-sq-ft-omaha-ne/0g9cfs0/  (access denied)
[17:52:16] BLOCKED  https://www.apartments.com/omaha-ne/2-bedrooms/  (access denied)
[17:52:18] BLOCKED  https://www.apartments.com/omaha-ne/1-bedrooms/  (access denied)
[17:52:20] BLOCKED  https://www.apartments.com/omaha-ne/4-bedrooms/  (access denied)
[17:52:21] OK       https://www.rentcafe.com/1-bedroom-apartments-for-rent/us/ne/omaha/  (11795 chars)
[17:52:22] FAIL     https://www.apartmenthomeliving.com/omaha/apartments-for-rent/1-bedroom  (403 Client Error: Forbidden for url: https://www.apartmenthomeliving.com/omaha/a)
[17:52:25] OK       https://www.autumngroveapartments.com/floorplans  (10518 chars)
[17:52:26] OK       https://www.rentalsource.com/omaha-ne/houses/  (345 chars)
[17:52:27] OK       https://omaha.craigslist.org/search/apa?query=for+rent  (0 chars)
[17:52:28] OK       https://omaha.craigslist.org/search/one-bedroom-apartment  (0 chars)
[17:52:29] OK       https://omaha.craigslist.org/search/apa?query=3+bedroom  (0 chars)
[17:52:30] OK       https://omaha.craigslist.org/search/apa?query=1+bedroom  (0 chars)
[17:52:31] OK       https://omaha.craigslist.org/search/omaha-ne/one-bedroom-apartment  (0 chars)
[17:52:32] OK       https://omaha.craigslist.org/search/apa?query=1+bedroom+apartment  (0 chars)
[17:52:33] OK       https://omaha.craigslist.org/  (58 chars)
[17:52:37] EMPTY    https://www.apartmentlist.com/ne/omaha  (50 chars)
[17:52:43] EMPTY    https://www.trulia.com/for_rent/Omaha,NE/  (106 chars)
[17:52:45] OK       https://omaha.craigslist.org/search/omaha-ne/apa  (0 chars)
[17:52:45] OK       https://omaha.craigslist.org/search/apa?query=houses+for+rent  (0 chars)
[17:52:48] OK       https://www.rentals.com/Nebraska/Omaha/3367/  (6664 chars)
[17:52:48] FAIL     https://omaha.claz.org/classifieds/housing/for-rent/apartments?q=1+bedroom+apartments  (429 Client Error: 429 for url: https://omaha.claz.org/classifieds/housing/for-re)
[17:52:56] EMPTY    https://hotpads.com/omaha-ne/apartments-for-rent?_pxhc=1683839693178  (106 chars)
[17:53:02] EMPTY    https://www.trulia.com/for_rent/Omaha,NE/3_beds/5_p/  (134 chars)
[17:53:03] OK       https://apartments.oodle.com/omaha-ne/apartments-for-rent/1-bedroom/  (7588 chars)
[17:53:05] OK       https://www.rentcip.com/apartments/ne/omaha/the-villas-of-omaha-at-butler-ridge/featuredfl  (3012 chars)
[17:53:07] OK       https://www.airbnb.com/omaha-ne/stays/patio  (14139 chars)
[17:53:09] OK       https://www.apartmentcities.com/Nebraska/Omaha_Apartments-3/  (7797 chars)
[17:53:11] OK       https://homes.trovit.com/for-rent-basement-apartment-omaha-ne  (20733 chars)
[17:53:12] OK       https://www.apartmentguide.com/  (2939 chars)
[17:53:14] OK       https://www.forrentbyowner.com/omaha-ne/apartments-for-rent/  (2862 chars)
[17:53:21] EMPTY    https://www.zillow.com/ny/apartments/  (134 chars)
[18:08:59] START    --- NEW SEARCH ---  (40 DDG results)
[18:09:07] HARVEST  https://www.zillow.com/omaha-ne/apartments/  (0 links extracted)
[18:09:13] HARVEST  https://www.trulia.com/for_rent/Omaha,NE/2p_beds/  (0 links extracted)
[18:09:15] HARVEST  https://www.apartments.com/omaha-ne/2-bedrooms/  (0 links extracted)
[18:09:17] HARVEST  https://www.apartments.com/830-s-21st-st-omaha-ne-unit-1/feh46gv/  (0 links extracted)
[18:09:19] HARVEST  https://www.apartments.com/omaha-ne/3-bedrooms/  (0 links extracted)
[18:09:20] FAIL     https://www.rentcafe.com/2-bedroom-apartments-for-rent/us/ne/omaha/  (403 Client Error: Forbidden for url: https://www.rentcafe.com/2-bedroom-apartmen)
[18:09:21] OK       https://www.rentable.co/omaha-ne/2-bedroom-apartments-for-rent  (7602 chars)
[18:09:23] OK       https://www.apartmentguide.com/apartments/Nebraska/Omaha/2-beds-1z141y8/  (3292 chars)
[18:09:24] OK       https://www.rent.com/  (4226 chars)
[18:09:25] OK       https://www.airbnb.com/omaha-ne/stays/apartments  (13876 chars)
[18:09:27] OK       https://homes.trovit.com/for-rent-multi-family-omaha-ne  (16670 chars)
[18:09:28] FAIL     https://www.apartmentadvisor.com/apartments/mockingbird-hills-omaha-ne  (404 Client Error: Not Found for url: https://www.apartmentadvisor.com/apartments)
[18:09:29] FAIL     https://omaha.craigslist.org/apa/d/omaha-two-bed-one-bath-2519-12th-st/7764884072.html  (404 Client Error: Not Found for url: https://omaha.craigslist.org/apa/d/omaha-tw)
[18:09:31] OK       https://www.sublet.com/  (71 chars)
[18:09:32] OK       https://apartmentforrentinshenzhen.com/  (3754 chars)
[18:09:33] OK       https://www.rentcafe.com/4-bedroom-apartments-for-rent/us/ne/omaha/  (6124 chars)
[18:09:37] OK       https://omahaneapts.com/  (9747 chars)
[18:09:38] FAIL     https://www.apartmenthomeliving.com/omaha/apartments-for-rent/1-bedroom  (403 Client Error: Forbidden for url: https://www.apartmenthomeliving.com/omaha/a)
[18:09:45] OK       https://www.autumngroveapartments.com/floorplans  (10518 chars)
[18:09:46] OK       https://omaha.craigslist.org/search/apa?query=two+bedroom  (0 chars)
[18:09:47] OK       https://omaha.craigslist.org/search/two-bedroom-apartment  (0 chars)
[18:09:48] OK       https://omaha.craigslist.org/search/apa?query=for+rent  (0 chars)
[18:09:49] OK       https://omaha.craigslist.org/search/apa  (0 chars)
[18:09:50] FAIL     https://omaha.craigslist.org/apa/d/omaha-gorgeous-bedroom-1135-sq-ft/7876761104.html  (404 Client Error: Not Found for url: https://omaha.craigslist.org/apa/d/omaha-go)
[18:09:51] FAIL     https://omaha.craigslist.org/apa/d/papillion-perfect-location-bdrm-in-sw/7880533077.html  (404 Client Error: Not Found for url: https://omaha.craigslist.org/apa/d/papillio)
[18:09:53] OK       https://www.rent.com/nebraska/omaha-apartments  (3423 chars)
[18:09:56] OK       https://www.rent.com/nebraska/omaha-apartments/2-bedroom_2-bathroom  (3292 chars)
[18:09:57] OK       https://www.padmapper.com/apartments/omaha-ne  (11868 chars)
[18:09:58] OK       https://hd-omaha.com/  (319 chars)
[18:23:07] START    --- NEW SEARCH ---  (41 DDG results)
[18:23:15] HARVEST  https://www.zillow.com/omaha-ne/apartments/  (0 links extracted)
[18:23:21] HARVEST  https://www.trulia.com/for_rent/Omaha,NE/  (0 links extracted)
[18:23:26] HARVEST  https://hotpads.com/omaha-ne/houses-for-rent-with-pool  (0 links extracted)
[18:23:28] HARVEST  https://www.apartments.com/omaha-ne/  (0 links extracted)
[18:23:32] HARVEST  https://www.zumper.com/apartments-for-rent/omaha-ne  (6 links extracted)
[18:23:34] OK       https://www.apartmentguide.com/apartments/Nebraska/Omaha/3-beds-1z141xs/  (3310 chars)
[18:23:35] OK       https://www.rentable.co/omaha-ne/neighborhoods/south-central-omaha  (11679 chars)
[18:23:36] OK       https://www.rentcafe.com/1-bedroom-apartments-for-rent/us/ne/omaha/  (11795 chars)
[18:23:38] OK       https://www.locanto.com/omaha/Apartments-for-Rent/301/  (6348 chars)
[18:23:39] OK       https://www.rent.com/  (4226 chars)
[18:23:40] OK       https://www.viewit.ca/  (18 chars)
[18:23:41] OK       https://rentals.ca/  (1639 chars)
[18:23:42] OK       https://www.bayut.com/to-rent/apartments/dubai/  (0 chars)
[18:23:43] FAIL     https://jiji.com.et/houses-apartments-for-rent  (403 Client Error: Forbidden for url: https://jiji.com.et/houses-apartments-for-r)
[18:23:44] OK       https://www.rentcafe.com/apartments-for-rent/omaha-ne/  (11742 chars)
[18:23:45] FAIL     https://www.apartmentfinder.com/Nebraska/Omaha-Apartments  (403 Client Error: Forbidden for url: https://www.apartmentfinder.com/Nebraska/Om)
[18:23:47] OK       https://www.redfin.com/city/9417/NE/Omaha/apartments-for-rent  (13821 chars)
[18:23:49] OK       https://www.apartmentguide.com/apartments/Nebraska/Omaha/  (3493 chars)
[18:23:50] OK       https://www.rent.com/nebraska/omaha-apartments  (3742 chars)
[18:23:53] OK       https://www.westhavenomaha.com/floorplans  (2375 chars)
